instance,feasibility,objective,runtime
0,True,923.2861,0.0008077345
1,True,1028.1952,0.0008077345
2,True,971.28656,0.0008077345
3,True,978.5366,0.0008077345
4,True,1004.36456,0.0008077345
5,True,1055.9202,0.0008077345
6,True,988.16626,0.0008077345
7,True,969.26575,0.0008077345
8,True,997.10425,0.0008077345
9,True,997.1088,0.0008077345
10,True,936.9259,0.0008077345
11,True,1014.10065,0.0008077345
12,True,904.83704,0.0008077345
13,True,980.5174,0.0008077345
14,True,961.8187,0.0008077345
15,True,1020.35944,0.0008077345
16,True,964.6885,0.0008077345
17,True,997.6644,0.0008077345
18,True,961.8915,0.0008077345
19,True,945.46356,0.0008077345
20,True,1042.8403,0.0008077345
21,True,962.07697,0.0008077345
22,True,937.6894,0.0008077345
23,True,976.64984,0.0008077345
24,True,967.84076,0.0008077345
25,True,999.2028,0.0008077345
26,True,998.1891,0.0008077345
27,True,1039.8984,0.0008077345
28,True,985.23065,0.0008077345
29,True,998.6186,0.0008077345
30,True,987.3072,0.0008077345
31,True,1058.9841,0.0008077345
32,True,1000.2092,0.0008077345
33,True,1042.2611,0.0008077345
34,True,1033.1407,0.0008077345
35,True,960.80505,0.0008077345
36,True,1039.251,0.0008077345
37,True,908.90753,0.0008077345
38,True,936.3392,0.0008077345
39,True,1048.4287,0.0008077345
40,True,973.72705,0.0008077345
41,True,868.4123,0.0008077345
42,True,1001.1078,0.0008077345
43,True,986.00684,0.0008077345
44,True,890.48663,0.0008077345
45,True,901.7809,0.0008077345
46,True,1017.21155,0.0008077345
47,True,886.9312,0.0008077345
48,True,973.4337,0.0008077345
49,True,982.6643,0.0008077345
50,True,1012.5866,0.0008077345
51,True,1008.87573,0.0008077345
52,True,1054.8822,0.0008077345
53,True,919.5738,0.0008077345
54,True,976.79816,0.0008077345
55,True,1015.2418,0.0008077345
56,True,981.336,0.0008077345
57,True,880.526,0.0008077345
58,True,1037.7493,0.0008077345
59,True,974.46625,0.0008077345
60,True,942.86584,0.0008077345
61,True,955.3011,0.0008077345
62,True,957.68414,0.0008077345
63,True,1014.8909,0.0008077345
64,True,974.43677,0.0008077345
65,True,1044.1195,0.0008077345
66,True,939.2446,0.0008077345
67,True,1004.22174,0.0008077345
68,True,939.40564,0.0008077345
69,True,937.1336,0.0008077345
70,True,1013.7946,0.0008077345
71,True,968.9453,0.0008077345
72,True,954.1506,0.0008077345
73,True,972.28754,0.0008077345
74,True,911.9972,0.0008077345
75,True,962.6072,0.0008077345
76,True,996.64545,0.0008077345
77,True,917.9776,0.0008077345
78,True,998.15814,0.0008077345
79,True,923.85767,0.0008077345
80,True,880.0558,0.0008077345
81,True,992.6979,0.0008077345
82,True,893.3046,0.0008077345
83,True,955.73425,0.0008077345
84,True,1008.8097,0.0008077345
85,True,954.7299,0.0008077345
86,True,1012.07935,0.0008077345
87,True,944.26794,0.0008077345
88,True,931.3505,0.0008077345
89,True,909.24475,0.0008077345
90,True,987.9393,0.0008077345
91,True,979.5466,0.0008077345
92,True,997.7207,0.0008077345
93,True,1021.80164,0.0008077345
94,True,1029.2157,0.0008077345
95,True,925.3075,0.0008077345
96,True,929.1361,0.0008077345
97,True,1029.8044,0.0008077345
98,True,979.24396,0.0008077345
99,True,969.4619,0.0008077345
100,True,1024.232,0.0008077345
101,True,1058.9122,0.0008077345
102,True,974.64886,0.0008077345
103,True,968.42804,0.0008077345
104,True,1026.8723,0.0008077345
105,True,956.13916,0.0008077345
106,True,938.2696,0.0008077345
107,True,940.18384,0.0008077345
108,True,977.3887,0.0008077345
109,True,1025.5005,0.0008077345
110,True,924.39716,0.0008077345
111,True,988.7376,0.0008077345
112,True,880.6267,0.0008077345
113,True,1004.55396,0.0008077345
114,True,1018.7454,0.0008077345
115,True,1006.703,0.0008077345
116,True,1025.6432,0.0008077345
117,True,1001.4143,0.0008077345
118,True,986.34644,0.0008077345
119,True,989.8732,0.0008077345
120,True,1042.3435,0.0008077345
121,True,930.0785,0.0008077345
122,True,982.1804,0.0008077345
123,True,1045.0525,0.0008077345
124,True,926.9697,0.0008077345
125,True,1035.4669,0.0008077345
126,True,952.5408,0.0008077345
127,True,1044.9036,0.0008077345
128,True,979.3025,0.0008077345
129,True,982.752,0.0008077345
130,True,951.34924,0.0008077345
131,True,1022.82764,0.0008077345
132,True,1002.5513,0.0008077345
133,True,1027.42,0.0008077345
134,True,844.4794,0.0008077345
135,True,1021.97,0.0008077345
136,True,955.207,0.0008077345
137,True,960.1246,0.0008077345
138,True,972.67993,0.0008077345
139,True,991.11255,0.0008077345
140,True,934.05475,0.0008077345
141,True,934.8527,0.0008077345
142,True,1010.83966,0.0008077345
143,True,1004.0801,0.0008077345
144,True,993.51825,0.0008077345
145,True,1061.5891,0.0008077345
146,True,957.4894,0.0008077345
147,True,905.3295,0.0008077345
148,True,885.2294,0.0008077345
149,False,,0.0008077345
150,True,1029.7758,0.0008077345
151,True,999.9535,0.0008077345
152,True,1050.7963,0.0008077345
153,True,970.09937,0.0008077345
154,True,1017.1571,0.0008077345
155,True,921.4056,0.0008077345
156,True,944.442,0.0008077345
157,True,916.69324,0.0008077345
158,True,981.2536,0.0008077345
159,True,970.73175,0.0008077345
160,True,950.75916,0.0008077345
161,True,1048.629,0.0008077345
162,True,1019.90283,0.0008077345
163,True,1023.3427,0.0008077345
164,True,943.40094,0.0008077345
165,True,1004.37756,0.0008077345
166,True,946.4322,0.0008077345
167,True,974.8142,0.0008077345
168,True,940.6584,0.0008077345
169,True,1059.3273,0.0008077345
170,True,999.7101,0.0008077345
171,True,1054.7759,0.0008077345
172,True,922.1071,0.0008077345
173,True,944.973,0.0008077345
174,True,885.9485,0.0008077345
175,True,829.6671,0.0008077345
176,True,927.4197,0.0008077345
177,True,1040.5828,0.0008077345
178,True,943.1337,0.0008077345
179,True,1015.6628,0.0008077345
180,True,985.43567,0.0008077345
181,True,980.6364,0.0008077345
182,True,1070.2504,0.0008077345
183,True,944.01953,0.0008077345
184,True,980.23474,0.0008077345
185,True,912.521,0.0008077345
186,True,927.55334,0.0008077345
187,True,990.7383,0.0008077345
188,True,1036.4893,0.0008077345
189,True,1061.594,0.0008077345
190,True,966.47656,0.0008077345
191,True,985.04114,0.0008077345
192,True,968.1831,0.0008077345
193,True,1045.3501,0.0008077345
194,True,987.949,0.0008077345
195,True,990.0631,0.0008077345
196,True,981.9891,0.0008077345
197,True,958.3513,0.0008077345
198,True,902.47424,0.0008077345
199,True,1007.99963,0.0008077345
200,True,964.73425,0.0008077345
201,True,1013.6404,0.0008077345
202,True,970.4746,0.0008077345
203,True,1051.8845,0.0008077345
204,True,1014.32056,0.0008077345
205,True,942.00916,0.0008077345
