instance,feasibility,objective,runtime
0,True,1030.2793,0.0008015346
1,True,1106.7238,0.0008015346
2,True,1082.4216,0.0008015346
3,True,1010.67487,0.0008015346
4,False,,0.0008015346
5,True,1096.752,0.0008015346
6,True,1028.7325,0.0008015346
7,True,1104.7913,0.0008015346
8,True,996.0747,0.0008015346
9,False,,0.0008015346
10,True,1072.8411,0.0008015346
11,True,1049.1666,0.0008015346
12,True,1079.813,0.0008015346
13,True,1058.0632,0.0008015346
14,True,1014.80237,0.0008015346
15,True,1056.8821,0.0008015346
16,False,,0.0008015346
17,True,1065.1831,0.0008015346
18,True,1066.3729,0.0008015346
19,True,1078.8174,0.0008015346
20,True,1030.314,0.0008015346
21,True,1092.6804,0.0008015346
22,True,1022.92035,0.0008015346
23,True,993.68475,0.0008015346
24,True,1056.8213,0.0008015346
25,True,1093.1403,0.0008015346
26,True,1103.8955,0.0008015346
27,True,1014.2261,0.0008015346
28,True,1000.61664,0.0008015346
29,True,1076.7435,0.0008015346
30,True,1037.103,0.0008015346
31,True,1094.6647,0.0008015346
32,True,1009.7993,0.0008015346
33,True,1073.7407,0.0008015346
34,True,1080.3812,0.0008015346
35,True,1041.5261,0.0008015346
36,True,1050.0996,0.0008015346
37,True,1091.9675,0.0008015346
38,True,1073.4264,0.0008015346
39,True,1116.7981,0.0008015346
40,True,1014.6311,0.0008015346
41,True,996.30164,0.0008015346
42,True,1055.6024,0.0008015346
43,True,1038.9418,0.0008015346
44,True,1018.6403,0.0008015346
45,True,1051.5941,0.0008015346
46,True,1051.2445,0.0008015346
47,True,1060.0298,0.0008015346
48,True,1047.4713,0.0008015346
49,True,1047.851,0.0008015346
50,True,1105.54,0.0008015346
51,True,968.44415,0.0008015346
52,True,1066.9962,0.0008015346
53,True,1047.8923,0.0008015346
54,True,1003.8315,0.0008015346
55,True,1063.1554,0.0008015346
56,True,1084.557,0.0008015346
57,True,1037.3964,0.0008015346
58,True,1097.3888,0.0008015346
59,True,1051.3292,0.0008015346
60,True,1070.3042,0.0008015346
61,True,1107.6371,0.0008015346
62,True,1075.5092,0.0008015346
63,True,1062.5736,0.0008015346
64,True,1099.3969,0.0008015346
65,True,1059.4576,0.0008015346
66,True,1075.4447,0.0008015346
67,True,1087.7113,0.0008015346
68,True,1100.3157,0.0008015346
69,True,1082.5817,0.0008015346
70,True,1065.0521,0.0008015346
71,True,1113.1229,0.0008015346
72,True,1040.9008,0.0008015346
73,True,1115.8633,0.0008015346
74,True,1063.706,0.0008015346
75,True,1135.464,0.0008015346
76,False,,0.0008015346
77,True,981.17554,0.0008015346
78,True,1037.2911,0.0008015346
79,True,1023.23114,0.0008015346
80,True,1084.3885,0.0008015346
81,True,1065.4172,0.0008015346
82,True,1055.2004,0.0008015346
83,True,1025.1143,0.0008015346
84,True,989.90173,0.0008015346
85,True,1062.0247,0.0008015346
86,True,1044.3959,0.0008015346
87,True,1014.3983,0.0008015346
88,True,1073.2632,0.0008015346
89,True,1010.34796,0.0008015346
90,True,1059.9924,0.0008015346
91,True,983.998,0.0008015346
92,True,1063.048,0.0008015346
93,True,1087.3271,0.0008015346
94,True,988.7659,0.0008015346
95,True,1063.7075,0.0008015346
96,True,1015.876,0.0008015346
97,True,1092.8461,0.0008015346
98,True,1069.395,0.0008015346
99,True,1076.5396,0.0008015346
100,True,1076.4169,0.0008015346
101,True,1020.07465,0.0008015346
102,True,1003.00006,0.0008015346
103,True,1021.95416,0.0008015346
104,True,1121.2399,0.0008015346
105,True,1045.6709,0.0008015346
106,True,1038.5372,0.0008015346
107,True,1048.5697,0.0008015346
108,True,1044.453,0.0008015346
