instance,feasibility,objective,runtime
0,True,1027.1104,0.0008775091
1,True,1101.3491,0.0008775091
2,True,1079.1802,0.0008775091
3,True,1002.5728,0.0008775091
4,False,,0.0008775091
5,True,1094.0171,0.0008775091
6,True,1028.2032,0.0008775091
7,True,1106.2557,0.0008775091
8,True,996.28064,0.0008775091
9,True,1045.9517,0.0008775091
10,True,1078.0532,0.0008775091
11,True,1045.5485,0.0008775091
12,True,1079.2603,0.0008775091
13,True,1059.1372,0.0008775091
14,True,1014.7425,0.0008775091
15,True,1060.0417,0.0008775091
16,False,,0.0008775091
17,True,1061.261,0.0008775091
18,True,1066.1261,0.0008775091
19,True,1078.0653,0.0008775091
20,True,1029.906,0.0008775091
21,True,1088.0751,0.0008775091
22,True,1020.703,0.0008775091
23,True,993.87634,0.0008775091
24,True,1054.2738,0.0008775091
25,True,1086.876,0.0008775091
26,True,1103.693,0.0008775091
27,True,1016.1696,0.0008775091
28,True,1002.33307,0.0008775091
29,True,1075.9962,0.0008775091
30,True,1034.6733,0.0008775091
31,True,1092.4142,0.0008775091
32,True,1010.69543,0.0008775091
33,True,1074.3011,0.0008775091
34,True,1076.8359,0.0008775091
35,True,1040.7814,0.0008775091
36,True,1050.9193,0.0008775091
37,True,1098.0945,0.0008775091
38,True,1073.8403,0.0008775091
39,True,1105.9742,0.0008775091
40,True,1014.601,0.0008775091
41,True,986.017,0.0008775091
42,True,1056.4756,0.0008775091
43,True,1039.1986,0.0008775091
44,True,1018.02026,0.0008775091
45,True,1046.976,0.0008775091
46,True,1050.1576,0.0008775091
47,True,1058.8971,0.0008775091
48,True,1046.795,0.0008775091
49,True,1047.5815,0.0008775091
50,True,1106.4814,0.0008775091
51,True,968.35425,0.0008775091
52,True,1069.146,0.0008775091
53,True,1048.7441,0.0008775091
54,True,1001.39655,0.0008775091
55,True,1062.8424,0.0008775091
56,True,1083.3397,0.0008775091
57,True,1036.6292,0.0008775091
58,True,1098.2836,0.0008775091
59,True,1047.1838,0.0008775091
60,True,1068.5219,0.0008775091
61,True,1104.9934,0.0008775091
62,True,1070.9164,0.0008775091
63,True,1063.3303,0.0008775091
64,True,1100.3302,0.0008775091
65,True,1059.227,0.0008775091
66,True,1072.9689,0.0008775091
67,True,1086.055,0.0008775091
68,False,,0.0008775091
69,True,1084.202,0.0008775091
70,True,1062.9434,0.0008775091
71,True,1108.2083,0.0008775091
72,True,1045.3236,0.0008775091
73,True,1116.0298,0.0008775091
74,True,1063.3248,0.0008775091
75,True,1134.2115,0.0008775091
76,False,,0.0008775091
77,True,980.9687,0.0008775091
78,True,1033.495,0.0008775091
79,True,1023.35236,0.0008775091
80,True,1084.5535,0.0008775091
81,True,1064.0876,0.0008775091
82,True,1054.2919,0.0008775091
83,True,1025.8793,0.0008775091
84,True,988.73566,0.0008775091
85,True,1060.8748,0.0008775091
86,True,1046.212,0.0008775091
87,True,1012.82367,0.0008775091
88,True,1071.129,0.0008775091
89,True,1002.88324,0.0008775091
90,True,1060.7253,0.0008775091
91,True,972.31323,0.0008775091
92,True,1065.5597,0.0008775091
93,True,1086.1343,0.0008775091
94,True,991.3845,0.0008775091
95,True,1060.4316,0.0008775091
96,True,1014.57007,0.0008775091
97,True,1082.4962,0.0008775091
98,True,1069.0096,0.0008775091
99,True,1075.6206,0.0008775091
100,True,1077.6844,0.0008775091
101,True,1019.7157,0.0008775091
102,True,1003.5046,0.0008775091
103,True,1022.103,0.0008775091
104,True,1123.6105,0.0008775091
105,True,1046.9263,0.0008775091
106,True,1038.2406,0.0008775091
107,True,1047.3291,0.0008775091
108,True,1046.2599,0.0008775091
109,True,1088.0879,0.0008775091
110,True,1063.1185,0.0008775091
111,True,1017.73694,0.0008775091
112,True,1051.0238,0.0008775091
113,True,1043.9373,0.0008775091
114,True,1052.5197,0.0008775091
115,True,1053.1929,0.0008775091
116,True,1099.9243,0.0008775091
117,True,1041.6802,0.0008775091
118,True,1007.8551,0.0008775091
119,True,1063.7247,0.0008775091
120,True,1066.7325,0.0008775091
121,True,1053.7231,0.0008775091
122,True,1072.2039,0.0008775091
123,True,1029.6274,0.0008775091
124,True,1096.8512,0.0008775091
125,True,1044.7726,0.0008775091
126,True,1091.9159,0.0008775091
127,True,1066.6868,0.0008775091
128,True,1091.7904,0.0008775091
129,True,1106.4756,0.0008775091
130,True,1028.9417,0.0008775091
131,True,1060.7124,0.0008775091
132,True,1135.5472,0.0008775091
133,True,1001.45605,0.0008775091
134,True,1105.7526,0.0008775091
135,True,1074.2213,0.0008775091
136,True,995.9999,0.0008775091
137,True,1141.3826,0.0008775091
138,True,1051.8928,0.0008775091
139,True,1069.9348,0.0008775091
140,True,1063.9939,0.0008775091
141,True,1071.645,0.0008775091
142,True,1073.87,0.0008775091
143,True,1048.0612,0.0008775091
144,True,1070.5437,0.0008775091
145,True,1102.4438,0.0008775091
146,True,1029.2468,0.0008775091
147,True,1022.4236,0.0008775091
148,True,1074.5334,0.0008775091
149,True,1013.9555,0.0008775091
150,True,1037.6846,0.0008775091
151,True,1090.3374,0.0008775091
152,True,1067.2494,0.0008775091
153,True,1056.136,0.0008775091
154,True,1048.5398,0.0008775091
155,True,1049.085,0.0008775091
156,True,1105.6953,0.0008775091
157,True,1044.0411,0.0008775091
158,True,1085.4275,0.0008775091
159,True,1062.5167,0.0008775091
160,True,1018.4475,0.0008775091
161,False,,0.0008775091
162,True,1039.5901,0.0008775091
163,True,1090.2811,0.0008775091
164,True,1085.1635,0.0008775091
165,True,1099.2185,0.0008775091
166,True,1085.4763,0.0008775091
167,True,1091.3066,0.0008775091
168,True,1066.0432,0.0008775091
169,True,1050.8071,0.0008775091
170,True,1083.186,0.0008775091
171,True,1067.3151,0.0008775091
172,True,1098.14,0.0008775091
173,True,1083.6205,0.0008775091
174,True,1087.6349,0.0008775091
175,True,1012.0406,0.0008775091
176,True,1009.48975,0.0008775091
177,True,1056.1731,0.0008775091
178,True,1099.477,0.0008775091
179,True,1053.4573,0.0008775091
180,True,1098.5361,0.0008775091
181,True,1057.0804,0.0008775091
182,True,1149.2856,0.0008775091
183,True,1029.3895,0.0008775091
184,True,1063.1045,0.0008775091
185,True,1072.815,0.0008775091
186,True,1095.5516,0.0008775091
187,True,1011.29724,0.0008775091
188,True,1074.1499,0.0008775091
189,True,1042.7571,0.0008775091
190,True,1075.3656,0.0008775091
191,True,1133.5938,0.0008775091
192,True,1058.5201,0.0008775091
193,True,1059.7537,0.0008775091
194,True,1108.67,0.0008775091
195,True,1050.6089,0.0008775091
196,True,1039.3384,0.0008775091
197,True,1020.504,0.0008775091
198,True,1094.3726,0.0008775091
199,True,1068.0886,0.0008775091
200,True,1029.2561,0.0008775091
201,True,1044.9812,0.0008775091
202,True,1108.2594,0.0008775091
203,True,1093.8383,0.0008775091
204,True,1052.708,0.0008775091
205,True,1066.0223,0.0008775091
206,True,1058.2596,0.0008775091
207,True,1026.8567,0.0008775091
208,True,1085.5135,0.0008775091
209,True,1053.3859,0.0008775091
210,True,941.1089,0.0008775091
211,True,1042.7946,0.0008775091
212,True,1103.1544,0.0008775091
213,True,1019.8244,0.0008775091
214,True,1020.2799,0.0008775091
215,True,1110.4625,0.0008775091
216,True,1070.5337,0.0008775091
217,True,1058.3615,0.0008775091
218,True,1063.9924,0.0008775091
219,True,1026.3225,0.0008775091
220,True,1025.145,0.0008775091
221,True,1050.2319,0.0008775091
222,True,1116.1427,0.0008775091
223,True,1074.3026,0.0008775091
224,True,1034.3197,0.0008775091
225,True,1076.3082,0.0008775091
226,True,1031.2328,0.0008775091
227,True,1045.9314,0.0008775091
228,True,1054.2694,0.0008775091
229,True,987.9559,0.0008775091
230,True,986.18414,0.0008775091
231,True,989.6655,0.0008775091
232,True,1029.8992,0.0008775091
233,True,985.0796,0.0008775091
234,True,1035.754,0.0008775091
235,True,1064.2755,0.0008775091
236,True,1123.4161,0.0008775091
237,True,1054.977,0.0008775091
238,True,1044.7306,0.0008775091
239,True,1046.9078,0.0008775091
240,True,993.2941,0.0008775091
241,True,1054.6221,0.0008775091
242,True,1072.6719,0.0008775091
243,True,1082.9595,0.0008775091
244,True,1086.722,0.0008775091
245,True,1078.7898,0.0008775091
246,True,1006.744,0.0008775091
247,True,1050.0448,0.0008775091
248,True,1055.0237,0.0008775091
249,True,1076.256,0.0008775091
250,True,1023.43823,0.00079814816
251,True,1066.062,0.00079814816
252,True,1036.7087,0.00079814816
253,True,1035.7697,0.00079814816
254,True,1091.8888,0.00079814816
255,False,,0.00079814816
256,True,1004.983,0.00079814816
257,True,1100.9769,0.00079814816
258,True,1020.4254,0.00079814816
259,True,1064.0653,0.00079814816
260,True,1087.0704,0.00079814816
261,True,991.8016,0.00079814816
262,True,1041.0459,0.00079814816
263,True,1108.0071,0.00079814816
264,False,,0.00079814816
265,True,1053.9496,0.00079814816
266,True,1036.5383,0.00079814816
267,True,1036.22,0.00079814816
268,True,1040.5869,0.00079814816
269,True,1074.2068,0.00079814816
270,True,1062.0815,0.00079814816
271,True,1049.9153,0.00079814816
272,False,,0.00079814816
273,True,1096.8328,0.00079814816
274,True,1036.7015,0.00079814816
275,True,1018.297,0.00079814816
276,True,1123.1926,0.00079814816
277,True,1084.1715,0.00079814816
278,True,1067.0181,0.00079814816
279,True,1039.2506,0.00079814816
280,True,1024.3252,0.00079814816
