instance,feasibility,objective,runtime
0,True,750.53357,0.0002772522
1,True,836.68335,0.0002772522
2,True,807.6589,0.0002772522
3,True,788.7678,0.0002772522
4,True,829.99,0.0002772522
5,True,715.57104,0.0002772522
6,True,746.26355,0.0002772522
7,True,824.8642,0.0002772522
8,True,768.3606,0.0002772522
9,True,674.12854,0.0002772522
10,True,799.3959,0.0002772522
11,True,814.1676,0.0002772522
12,True,789.5819,0.0002772522
13,True,837.92474,0.0002772522
14,True,737.52216,0.0002772522
15,True,951.3808,0.0002772522
16,True,762.3034,0.0002772522
17,True,742.9815,0.0002772522
18,True,787.361,0.0002772522
19,True,815.50195,0.0002772522
20,True,619.8782,0.0002772522
21,True,753.05164,0.0002772522
22,True,758.27124,0.0002772522
23,True,907.4153,0.0002772522
24,True,815.62805,0.0002772522
25,False,,0.0002772522
26,True,718.5848,0.0002772522
27,True,842.5623,0.0002772522
28,True,828.4107,0.0002772522
29,True,937.1378,0.0002772522
30,True,764.5488,0.0002772522
31,True,745.8807,0.0002772522
32,True,820.266,0.0002772522
33,True,888.27747,0.0002772522
34,True,879.734,0.0002772522
35,True,823.4348,0.0002772522
36,True,776.98334,0.0002772522
37,True,833.13525,0.0002772522
38,True,900.5632,0.0002772522
39,True,665.64636,0.0002772522
40,True,828.24286,0.0002772522
41,True,750.84534,0.0002772522
42,True,796.48773,0.0002772522
43,True,772.25244,0.0002772522
44,False,,0.0002772522
45,True,752.03894,0.0002772522
46,True,713.304,0.0002772522
47,True,832.13873,0.0002772522
48,True,806.8483,0.0002772522
49,True,793.2158,0.0002772522
50,True,864.45636,0.0002772522
51,True,823.8949,0.0002772522
52,True,795.78345,0.0002772522
53,True,851.50073,0.0002772522
54,False,,0.0002772522
55,True,792.151,0.0002772522
56,True,886.5251,0.0002772522
57,True,757.55396,0.0002772522
58,True,777.01587,0.0002772522
59,False,,0.0002772522
60,True,926.1059,0.0002772522
61,True,736.30054,0.0002772522
62,True,838.2,0.0002772522
63,False,,0.0002772522
64,False,,0.0002772522
65,True,919.34375,0.0002772522
66,True,874.27924,0.0002772522
67,True,800.6726,0.0002772522
68,True,749.4091,0.0002772522
69,True,782.7243,0.0002772522
70,True,789.02734,0.0002772522
71,True,777.3628,0.0002772522
72,True,784.17804,0.0002772522
73,True,854.01514,0.0002772522
74,True,820.9481,0.0002772522
75,True,781.4087,0.0002772522
76,True,863.74036,0.0002772522
77,True,676.3804,0.0002772522
78,True,746.8664,0.0002772522
