instance,feasibility,objective,runtime
0,True,742.7004,0.00026676845
1,True,831.9855,0.00026676845
2,True,807.85486,0.00026676845
3,True,786.4692,0.00026676845
4,True,828.64954,0.00026676845
5,True,714.05676,0.00026676845
6,True,754.01117,0.00026676845
7,True,824.42816,0.00026676845
8,True,755.2872,0.00026676845
9,True,674.69916,0.00026676845
10,True,788.8631,0.00026676845
11,True,818.2061,0.00026676845
12,True,791.0706,0.00026676845
13,True,835.4557,0.00026676845
14,True,745.5139,0.00026676845
15,True,945.6684,0.00026676845
16,True,765.21436,0.00026676845
17,True,742.8941,0.00026676845
18,True,784.7849,0.00026676845
19,True,823.0933,0.00026676845
20,True,623.281,0.00026676845
21,True,731.3077,0.00026676845
22,True,753.72107,0.00026676845
23,True,897.7625,0.00026676845
24,True,806.5731,0.00026676845
25,False,,0.00026676845
26,True,720.1685,0.00026676845
27,True,849.33374,0.00026676845
28,True,824.60956,0.00026676845
29,True,938.26886,0.00026676845
30,True,768.9726,0.00026676845
31,True,746.4262,0.00026676845
32,True,831.59216,0.00026676845
33,True,885.7458,0.00026676845
34,False,,0.00026676845
35,True,823.33203,0.00026676845
36,True,770.138,0.00026676845
37,True,829.7848,0.00026676845
38,True,887.37524,0.00026676845
39,True,670.42725,0.00026676845
40,True,842.81433,0.00026676845
41,True,750.1854,0.00026676845
42,True,792.82544,0.00026676845
43,True,773.7262,0.00026676845
44,True,771.8261,0.00026676845
45,True,750.51935,0.00026676845
46,True,718.7603,0.00026676845
47,True,819.36426,0.00026676845
48,True,805.2988,0.00026676845
49,True,790.617,0.00026676845
50,True,864.453,0.00026676845
51,True,826.22015,0.00026676845
52,True,791.9204,0.00026676845
53,True,848.6411,0.00026676845
54,False,,0.00026676845
55,True,770.0921,0.00026676845
56,True,871.7745,0.00026676845
57,True,761.1983,0.00026676845
58,True,775.9339,0.00026676845
59,True,811.3542,0.00026676845
60,True,927.6434,0.00026676845
61,True,737.5425,0.00026676845
62,True,829.0821,0.00026676845
63,False,,0.00026676845
64,False,,0.00026676845
65,True,911.0689,0.00026676845
66,True,871.8409,0.00026676845
67,True,788.54047,0.00026676845
68,True,750.6996,0.00026676845
69,True,784.1918,0.00026676845
70,True,786.7232,0.00026676845
71,True,779.8138,0.00026676845
72,True,775.3033,0.00026676845
73,True,841.20294,0.00026676845
74,True,822.3913,0.00026676845
75,True,778.76495,0.00026676845
76,True,860.36053,0.00026676845
77,True,678.39557,0.00026676845
78,True,742.6815,0.00026676845
79,True,807.8497,0.00026676845
80,True,784.87683,0.00026676845
81,True,801.95215,0.00026676845
82,True,751.3288,0.00026676845
83,True,792.3072,0.00026676845
84,True,814.8754,0.00026676845
85,True,778.3555,0.00026676845
86,True,812.7718,0.00026676845
87,True,876.4262,0.00026676845
88,True,754.40247,0.00026676845
89,True,810.7435,0.00026676845
90,True,807.9274,0.00026676845
91,True,738.9248,0.00026676845
92,True,781.7614,0.00026676845
93,False,,0.00026676845
94,True,822.0478,0.00026676845
95,True,844.19434,0.00026676845
96,True,772.3351,0.00026676845
97,False,,0.00026676845
98,True,810.5856,0.00026676845
99,True,840.20264,0.00026676845
100,True,747.6143,0.00026676845
101,True,887.461,0.00026676845
102,True,832.41455,0.00026676845
103,True,777.3103,0.00026676845
104,True,734.3157,0.00026676845
105,True,779.4862,0.00026676845
106,True,861.96796,0.00026676845
107,True,812.5119,0.00026676845
108,True,733.96796,0.00026676845
109,True,860.9787,0.00026676845
110,True,858.06915,0.00026676845
111,True,695.13275,0.00026676845
112,True,858.972,0.00026676845
113,True,849.9241,0.00026676845
114,True,873.62585,0.00026676845
115,True,828.2954,0.00026676845
116,True,829.2698,0.00026676845
117,True,858.44135,0.00026676845
118,True,775.9744,0.00026676845
119,True,763.1981,0.00026676845
120,True,819.42633,0.00026676845
121,True,802.38855,0.00026676845
122,True,823.0215,0.00026676845
123,True,772.70337,0.00026676845
124,False,,0.00026676845
125,True,892.824,0.00026676845
126,True,805.0749,0.00026676845
127,True,907.44,0.00026676845
128,True,805.8007,0.00026676845
129,True,779.7863,0.00026676845
130,True,725.2381,0.00026676845
131,True,876.6058,0.00026676845
132,True,845.58203,0.00026676845
133,True,840.15454,0.00026676845
134,True,873.1839,0.00026676845
135,True,695.91797,0.00026676845
136,True,785.35205,0.00026676845
137,True,836.74744,0.00026676845
138,True,855.04285,0.00026676845
139,True,780.7101,0.00026676845
140,True,691.88196,0.00026676845
141,True,794.3264,0.00026676845
142,True,694.29425,0.00026676845
143,True,840.2212,0.00026676845
144,True,864.5389,0.00026676845
145,True,758.7275,0.00026676845
146,True,784.3196,0.00026676845
147,True,664.96173,0.00026676845
148,True,790.5766,0.00026676845
149,True,755.28986,0.00026676845
150,True,722.5485,0.00026676845
151,True,825.0237,0.00026676845
152,True,742.9693,0.00026676845
153,True,655.0966,0.00026676845
154,True,755.33026,0.00026676845
155,True,802.6693,0.00026676845
156,True,829.5943,0.00026676845
157,True,762.3524,0.00026676845
158,True,833.29486,0.00026676845
159,True,791.7024,0.00026676845
160,True,872.7985,0.00026676845
161,True,845.5795,0.00026676845
162,True,828.5538,0.00026676845
163,True,876.7911,0.00026676845
164,True,617.8088,0.00026676845
165,True,772.4869,0.00026676845
166,True,787.9316,0.00026676845
167,True,855.2165,0.00026676845
168,True,799.4549,0.00026676845
169,True,858.48334,0.00026676845
170,True,818.22,0.00026676845
171,True,849.8739,0.00026676845
172,True,881.4434,0.00026676845
173,True,765.18756,0.00026676845
174,True,756.6355,0.00026676845
175,True,807.86365,0.00026676845
176,True,868.65186,0.00026676845
177,True,765.1926,0.00026676845
178,False,,0.00026676845
179,True,734.58594,0.00026676845
180,True,847.019,0.00026676845
181,True,805.9745,0.00026676845
182,True,860.3965,0.00026676845
183,True,782.43243,0.00026676845
184,True,877.92786,0.00026676845
185,True,899.8747,0.00026676845
186,True,826.4946,0.00026676845
187,True,774.2964,0.00026676845
188,True,631.2521,0.00026676845
189,False,,0.00026676845
190,True,778.44293,0.00026676845
191,True,794.695,0.00026676845
192,True,728.1737,0.00026676845
193,True,938.56744,0.00026676845
194,True,818.46124,0.00026676845
195,True,757.9364,0.00026676845
196,True,831.31696,0.00026676845
197,True,752.769,0.00026676845
198,True,669.6052,0.00026676845
199,True,880.5521,0.00026676845
200,True,826.4348,0.00026676845
201,True,701.10284,0.00026676845
202,True,784.5723,0.00026676845
203,True,853.2742,0.00026676845
204,True,924.98816,0.00026676845
205,True,860.7807,0.00026676845
206,True,723.4117,0.00026676845
207,True,698.4614,0.00026676845
208,True,853.82794,0.00026676845
209,True,828.6241,0.00026676845
210,True,746.4879,0.00026676845
211,True,881.76385,0.00026676845
212,True,798.9512,0.00026676845
213,True,839.9919,0.00026676845
214,True,883.67395,0.00026676845
215,True,849.75726,0.00026676845
216,True,765.67773,0.00026676845
217,True,723.7188,0.00026676845
218,True,910.76154,0.00026676845
219,True,855.78357,0.00026676845
220,True,734.8102,0.00026676845
221,False,,0.00026676845
222,True,873.08405,0.00026676845
223,True,667.0538,0.00026676845
224,True,796.86993,0.00026676845
225,True,751.1777,0.00026676845
226,False,,0.00026676845
227,True,862.969,0.00026676845
228,True,712.21246,0.00026676845
229,True,864.603,0.00026676845
230,True,679.7498,0.00026676845
231,True,803.0897,0.00026676845
232,True,667.0376,0.00026676845
233,True,793.3818,0.00026676845
234,True,763.40576,0.00026676845
235,True,742.8629,0.00026676845
236,True,843.94806,0.00026676845
237,True,787.7815,0.00026676845
238,True,778.79755,0.00026676845
239,True,772.6203,0.00026676845
240,True,867.01764,0.00026676845
241,True,801.86365,0.00026676845
242,True,892.7411,0.00026676845
243,True,814.6774,0.00026676845
244,True,689.3423,0.00026676845
245,True,807.8767,0.00026676845
246,True,817.9345,0.00026676845
247,True,683.67487,0.00026676845
248,True,819.94745,0.00026676845
249,True,780.09174,0.00026676845
250,True,790.3643,0.0002652092
251,True,722.83936,0.0002652092
252,True,775.9928,0.0002652092
253,True,768.0527,0.0002652092
254,True,791.42535,0.0002652092
255,True,822.57776,0.0002652092
256,False,,0.0002652092
257,True,745.9193,0.0002652092
258,False,,0.0002652092
259,True,808.6399,0.0002652092
260,True,812.3789,0.0002652092
261,True,737.432,0.0002652092
262,True,783.73944,0.0002652092
263,True,810.49194,0.0002652092
264,True,836.2384,0.0002652092
265,True,778.55634,0.0002652092
266,True,700.17535,0.0002652092
267,True,727.66016,0.0002652092
268,True,806.22864,0.0002652092
269,True,865.2384,0.0002652092
270,True,701.8402,0.0002652092
271,False,,0.0002652092
272,True,717.9489,0.0002652092
273,True,809.97314,0.0002652092
274,True,812.8928,0.0002652092
275,True,751.0895,0.0002652092
276,True,855.5491,0.0002652092
277,True,789.5963,0.0002652092
278,True,823.2525,0.0002652092
279,True,780.5229,0.0002652092
280,True,756.7416,0.0002652092
281,True,772.4379,0.0002652092
282,True,902.87744,0.0002652092
283,True,808.71747,0.0002652092
284,True,799.08905,0.0002652092
285,True,745.9688,0.0002652092
286,True,810.92865,0.0002652092
287,True,839.40967,0.0002652092
288,True,890.49854,0.0002652092
289,True,667.99243,0.0002652092
290,True,795.7614,0.0002652092
291,True,917.09,0.0002652092
292,True,642.49774,0.0002652092
293,True,784.6827,0.0002652092
294,True,741.48004,0.0002652092
295,False,,0.0002652092
296,True,786.4215,0.0002652092
297,True,682.74774,0.0002652092
298,True,783.56476,0.0002652092
299,True,833.79364,0.0002652092
300,True,915.1437,0.0002652092
301,True,737.81146,0.0002652092
302,True,813.75494,0.0002652092
303,True,702.9551,0.0002652092
304,True,839.13086,0.0002652092
305,True,821.5246,0.0002652092
